id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
iml_type_manager,iml.type.manager,model_crm_iml_opportunities_type,base.group_sale_manager,1,1,1,1
iml_type_user,iml.type.user,model_crm_iml_opportunities_type,base.group_sale_salesman,1,0,0,0
iml_categ_manager,iml.categ.manager,model_crm_clientcategory,base.group_sale_manager,1,1,1,1
iml_categ_user,iml.categ.user,model_crm_clientcategory,base.group_sale_salesman,1,0,0,0
iml_crm_lead_user,iml.crm.lead.user,model_crm_lead,base.group_sale_salesman,1,1,1,1
iml_goods_user,iml.crm.user.goods,model_crm_goodscategory,base.group_sale_salesman,1,0,0,0
iml_goods_manager,iml.crm.manager.goods,model_crm_goodscategory,base.group_sale_manager,1,1,1,1
iml_storage_user,iml.crm.user.storage,model_crm_shipping_storage,base.group_sale_salesman,1,0,0,0
iml_storage_manager,iml.crm.manager.storage,model_crm_shipping_storage,base.group_sale_manager,1,1,1,1
iml_company_org_type_user,iml.crm.manager.company_org_type,model_crm_company_org_type,base.group_sale_salesman,1,0,0,0
iml_company_org_type_manager,iml.crm.user.company_org_type,model_crm_company_org_type,base.group_sale_manager,1,1,1,1
iml_settlement_center_user,iml.crm.manager.settlement_center,model_crm_settlement_center,base.group_sale_salesman,1,0,0,0
iml_settlement_center_manager,iml.crm.user.settlement_center,model_crm_settlement_center,base.group_sale_manager,1,1,1,1
iml_access_account_move_line_salesman,iml.crm.account.move.line invoice,account.model_account_move_line,base.group_sale_salesman,1,0,0,0
iml_setting_sqlserver,iml.crm.sqlserver.manager,model_crm_iml_sqlserver,base.group_sale_manager,1,1,0,0
iml_setting_exserver,iml.crm.exserver.manager,model_crm_iml_exchange_server_settings,base.group_sale_manager,1,1,0,0
iml_setting_sqlserve_settings,iml.crm.sqlserver.settings,model_crm_iml_sqlserver,base.group_system,1,1,1,1
iml_setting_exserver_settings,iml.crm.exserver.settings,model_crm_iml_exchange_server_settings,base.group_system,1,1,1,1
iml_res_partner,iml.crm.res.partner,base.model_res_partner,base.group_sale_salesman,1,1,1,1

iml_test_group_client_department_settings,iml.crm.client.dept.test,base.model_res_partner,test_group_client_department,1,1,1,1
iml_group_client_dept_account,iml.crm.client.dept.account,analytic.model_account_analytic_account,test_group_client_department,1,1,0,0
iml_group_client_dept_lead,iml.crm.client.dept.lead,crm.model_crm_lead,test_group_client_department,1,1,1,0
iml_group_client_dept_claim,iml.crm.client.dept.claim,crm_claim.model_crm_claim,test_group_client_department,1,1,1,0

iml_group_sale_dept_employee_res_partner,iml.crm.sale.dept.partner,base.model_res_partner,group_sale_dept_employee,1,1,1,1
iml_group_sale_dept_account,iml.crm.sale.dept.account,analytic.model_account_analytic_account,group_sale_dept_employee,1,1,0,0
iml_group_sale_dept_lead,iml.crm.sale.dept.lead,crm.model_crm_lead,group_sale_dept_employee,1,1,1,0
iml_group_sale_dept_claim,iml.crm.sale.dept.claim,crm_claim.model_crm_claim,group_sale_dept_employee,1,1,1,0

iml_test_group_client_dept_partner_manager,iml.crm.client.dept.partner.manager,base.model_res_partner,group_client_dept_manager,1,1,1,1
iml_group_client_dept_account_manager,iml.crm.client.dept.account.manager,analytic.model_account_analytic_account,group_client_dept_manager,1,1,0,0
iml_group_client_dept_lead_manager,iml.crm.client.dept.lead.manager,crm.model_crm_lead,group_client_dept_manager,1,1,1,0
iml_group_access_model_super_calendar_cd,crm.iml.client_dept.access_model_super_calendar,super_calendar.model_super_calendar,group_client_dept_manager,1,1,1,1

iml_group_sale_dept_partner_manager,iml.crm.sale.dept.partner.manager,base.model_res_partner,group_sale_dept_manager,1,1,1,1
iml_group_sale_dept_account_manager,iml.crm.sale.dept.account.manager,analytic.model_account_analytic_account,group_sale_dept_manager,1,1,0,0
iml_group_sale_dept_lead_manager,iml.crm.sale.dept.lead.manager,crm.model_crm_lead,group_sale_dept_manager,1,1,1,0
iml_group_access_model_super_calendar_sd,crm.iml.sale_dept.access_model_super_calendar,super_calendar.model_super_calendar,group_sale_dept_manager,1,1,1,1

iml_group_access_model_super_calendar_line,crm.iml.access_model_super_calendar_line,super_calendar.model_super_calendar_configurator_line,base.group_user,1,1,1,1

iml_call_center_employee_res_partner,iml.crm.call.center.partner,base.model_res_partner,group_call_center_employee,1,1,1,1
iml_group_call_center_account,iml.crm.call.center.account,analytic.model_account_analytic_account,group_call_center_employee,1,1,0,0
iml_group_call_center_lead,iml.crm.call.center.lead,crm.model_crm_lead,group_call_center_employee,1,1,1,0
iml_group_call_center_claim,iml.crm.call.center.claim,crm_claim.model_crm_claim,group_call_center_employee,1,1,1,0
